"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2560,-55,-2.1,NA,NA,745,3.44,0,0
"2","095570","AJ네트웍스",4020,0,0,982,4.09,6802,0.59,300,7.46
"3","006840","AK홀딩스",30900,650,2.15,2168,14.25,62448,0.49,750,2.43
"4","054620","APS홀딩스",7610,-160,-2.06,NA,NA,10530,0.72,0,0
"5","265520","AP시스템",29750,-1250,-4.03,671,44.34,7468,3.98,50,0.17
"6","211270","AP위성",22400,2850,14.58,51,439.22,5479,4.09,70,0.31
"7","027410","BGF",5890,-100,-1.67,281,20.96,15699,0.38,110,1.87
"8","282330","BGF리테일",167000,4000,2.45,8763,19.06,36022,4.64,2700,1.62
"9","138930","BNK금융지주",5860,-20,-0.34,1647,3.56,25415,0.23,360,6.14
"10","001460","BYC",352000,13500,3.99,33265,10.58,517079,0.68,1100,0.31
"11","001465","BYC우",160500,3500,2.23,NA,NA,NA,NA,1150,0.72
"12","001040","CJ",95300,100,0.11,8240,11.57,126448,0.75,1850,1.94
"13","079160","CJ CGV",26450,0,0,NA,NA,11590,2.28,0,0
"14","035760","CJ ENM",141800,-300,-0.21,5310,26.7,134364,1.06,1400,0.99
"15","00104K","CJ4우(전환)",76600,1000,1.32,NA,NA,NA,NA,1900,2.48
"16","000120","CJ대한통운",171500,1000,0.59,1349,127.13,131146,1.31,0,0
"17","011150","CJ씨푸드",4605,25,0.55,51,90.29,1781,2.59,0,0
"18","011155","CJ씨푸드1우",36400,-200,-0.55,NA,NA,NA,NA,0,0
"19","001045","CJ우",59200,-200,-0.34,NA,NA,NA,NA,1900,3.21
"20","097950","CJ제일제당",435000,-5000,-1.14,9516,45.71,297949,1.46,3500,0.8
"21","097955","CJ제일제당 우",197500,-5000,-2.47,NA,NA,NA,NA,3550,1.8
"22","051500","CJ프레시웨이",21950,150,0.69,434,50.58,16967,1.29,250,1.14
"23","058820","CMG제약",4735,-165,-3.37,25,189.4,1297,3.65,0,0
"24","023460","CNH",2710,0,0,424,6.39,2811,0.96,30,1.11
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",2720,-100,-3.55,NA,NA,1155,2.35,0,0
"27","083660","CSA 코스믹",3220,120,3.87,NA,NA,836,3.85,0,0
"28","000590","CS홀딩스",57900,-900,-1.53,8435,6.86,195584,0.3,500,0.86
"29","012030","DB",916,-22,-2.35,23,39.83,1049,0.87,0,0
"30","367340","DB금융스팩8호",2050,0,0,NA,NA,NA,NA,0,0
"31","016610","DB금융투자",5860,-30,-0.51,1172,5,16484,0.36,250,4.27
"32","005830","DB손해보험",40400,2400,6.32,5966,6.77,84026,0.48,1500,3.71
